title,exercise_path,url,target_muscles,synergist_muscles,stabilizer_muscles,description,equipment
Eccentric Handstand Push-up (Parallettes),/exercise/1375,https://app.strength.muscleandmotion.com/exercise/1375,Anterior Deltoid; Middle Deltoid,Triceps Brachii; Trapezius; Serratus Anterior,Abdominal Muscles; Erector Spinae; Wrist Extensors; Wrist Flexors; Gluteus Maximus; Hamstrings; Quadriceps Femoris,"The Eccentric Handstand Push-up on parallettes, also known as a negative handstand push-up, is an effective exercise for those who are learning how to perform the muscle-up. The use of eccentric contractions during this exercise helps generate higher forces than concentric or isometric contractions, making it ideal for those who are unable to complete the concentric phase of the Handstand Push-up. Start by placing both hands on the parallettes a little wider than shoulder-width apart. Kick hard enough to get yourself into a handstand and let the back of your feet lie on the wall. After you stabilize yourself in the handstand position begin to bend your elbows to lower yourself toward the mat. Once the top of your head grazes the mat lower your legs back to the ground and repeat from the beginning.",Parallettes
Eccentric High Biceps Curls (Resistance Band),/exercise/611,https://app.strength.muscleandmotion.com/exercise/611,Biceps Brachii,Brachialis; Brachioradialis,Trapezius; Subscapularis; Infraspinatus; Teres Minor,,Resistance Band
Eccentric Muscle-up,/exercise/1320,https://app.strength.muscleandmotion.com/exercise/1320,Latissimus Dorsi; Triceps Brachii; Pectoralis Major; Anterior Deltoid,Posterior Deltoid; Teres Major; Iliacus; Psoas Major; Rhomboid Muscles; Biceps Brachii; Brachialis; Brachioradialis,Abdominal Muscles; Trapezius,"Start by jumping up on the bar and extending your arms, embrace your core and keep your legs straight beneath you. Slowly and with control, lower yourself into a dip while keeping your elbows to the sides. Lean back and slowly lift your legs and transfer to the top of the pull-up. Straighten your arms and lower your body until it forms a straight line from your hands to feet.",
Eccentric Pull-up,/exercise/1234,https://app.strength.muscleandmotion.com/exercise/1234,Latissimus Dorsi (Respiration),Posterior Deltoid; Trapezius; Rhomboid Muscles; Biceps Brachii; Brachialis; Brachioradialis; Wrist Flexors; Teres Major,Transversus Abdominis; Abdominal Muscles,"The Eccentric Pull-up, or Negative Pull-up, is a preparatory exercise that will help you gain strength to complete your first Pull-up. Set up by standing under a pull-up bar and on top of a box. Grab the pull-up bar with both hands, jump up, and bring your chin over the bar. Slowly lower your body down until you return to the starting position.",
Eccentric Push-up,/exercise/1337,https://app.strength.muscleandmotion.com/exercise/1337,"Pectoralis Major, Sternal Head","Anterior Deltoid; Triceps Brachii; Serratus Anterior; Biceps Brachii, long head; Coracobrachialis",Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm; Psoas Major; Sartorius,"The Eccentric Push-up, also known as a Negative Push-up, is an effective exercise for those who are learning how to perform the Push-up. The Eccentric Push-up focuses on controlling the descent phase to enhance strength. Start by getting into a high plank position with your hands placed slightly wider than shoulder-width apart, fingers pointing forward. Lower your body towards the ground as slowly as possible to maximize the eccentric contraction. Push back up to the starting position and repeat for the desired repetitions.",
Eccentric Triceps Dips,/exercise/1340,https://app.strength.muscleandmotion.com/exercise/1340,"Pectoralis Major, Costal Head; Triceps Brachii","Pectoralis Major, Sternal Head; Pectoralis Major, Clavicular Head; Anterior Deltoid; Latissimus Dorsi; Lower Trapezius",Abdominal Muscles; Serratus Anterior; Subscapularis; Infraspinatus; Teres Minor,Step up onto the dip station and grab the handles with a neutral grip. Begin the dip by unlocking your elbows and lowering your body until your forearms are parallel to the floor. Control the descent and ensure that your elbows are pointing backward. Repeat for the desired number of repetitions.,
Eccentric Triceps Extension (Resistance Band),/exercise/610,https://app.strength.muscleandmotion.com/exercise/610,Triceps Brachii,,Latissimus Dorsi; Subscapularis; Infraspinatus; Teres Minor,,Resistance Band
Elbow Bird Dog Plank,/exercise/836,https://app.strength.muscleandmotion.com/exercise/836,Abdominal Muscles; Iliacus; Psoas Major; Erector Spinae; Transversospinales Muscles; Intersegmental Muscles,Anterior Deltoid; Gluteus Maximus; Lower Trapezius,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm; Quadriceps Femoris; Iliacus; Psoas Major; Serratus Anterior,"Co-contraction of back extensors, abdominal muscles, pelvic floor and diaphragm. Raise one leg pushing it straight backwards, and simultaneously lift the opposite arm and point it in front of you. Arm and back form a line parallel to the floor. Hold for about 8-10 sec.",
Elbow Plank,/exercise/1218,https://app.strength.muscleandmotion.com/exercise/1218,Abdominal Muscles; Pelvic Diaphragm,Serratus Anterior; Psoas Major; Iliacus,Abdominal Muscles; Erector Spinae; Diaphragm; Pelvic Diaphragm; Psoas Major; Iliacus; Serratus Anterior,"We must maintain a straight back (neutral spine) throughout the entire range of motion. The abdominal muscles stabilize the chest from the top and the pelvis from the bottom. Contraction of the abdominal muscles (and especially the transversus abdominis) increases Intra-Abdominal Pressure (IAP), thus preventing pressure on the lower vertebrae.",
Elbow Plank (BOSU Dome Down),/exercise/826,https://app.strength.muscleandmotion.com/exercise/826,Abdominal Muscles; Iliacus; Psoas Major; Pelvic Diaphragm; Diaphragm,,Abdominal Muscles; Iliacus; Psoas Major; Multifidus; Pelvic Diaphragm; Diaphragm,"We must maintain a straight back (neutral spine) throughout the entire range of motion. The abdominal muscles stabilize the chest from the top and the pelvis from the bottom. Contraction of the abdominal muscles (and especially the transversus abdominis) increases Intra-Abdominal Pressure (IAP), thus preventing pressure on the lower vertebrae.",BOSU
Elbows Plank Variation (Stability Ball),/exercise/648,https://app.strength.muscleandmotion.com/exercise/648,Transversus Abdominis; Rectus Abdominis,Latissimus Dorsi (Respiration),Abdominal Muscles; Erector Spinae; Psoas Major; Iliacus; Pelvic Diaphragm; Diaphragm,,Stability Ball
Elevated 90/90 Hip Rotation,/exercise/1443,https://app.strength.muscleandmotion.com/exercise/1443,Hip Adductor Muscles; Hip External Rotators (Deep Layer); Gluteus Maximus; Gluteus Medius; Gluteus Minimus; Multifidus,,,"This variation involves lifting the hips off the floor during the 90/90 hip rotation. By elevating the hips and using your hands for support, you reduce stress on the hip joints and allow the spine to aid in pelvic rotation. Start by sitting on the floor with your legs bent at a 90-degree angle in front of you, forming a ""Z"" shape with your knees and hips. Lift your hips slightly off the ground, using your hands for support behind you to maintain balance. Simultaneously rotate one hip outward (external rotation) and the other hip inward (internal rotation). Press your knees down and engage your core muscles to help stabilize your pelvis. Hold the position briefly while breathing deeply, then switch sides. Perform several repetitions on each side, focusing on smooth and controlled movements.",
Elevated Pike Push-up,/exercise/998,https://app.strength.muscleandmotion.com/exercise/998,Deltoid,"Serratus Anterior; Upper Trapezius; Lower Trapezius; Triceps Brachii; Pectoralis Major, Clavicular Head",Abdominal Muscles; Diaphragm; Pelvic Diaphragm; Multifidus,"This exercise is associated with the “Pike push-up” but it more closely resembles the Shoulder Press exercise, and is designed to strengthen the Deltoid muscles. Bend your elbows, aiming to bring your head down and forward to the floor, and push back up.",
Elevated Push-up,/exercise/1171,https://app.strength.muscleandmotion.com/exercise/1171,"Pectoralis Major, Clavicular Head; Pectoralis Major, Sternal Head",Serratus Anterior; Triceps Brachii; Anterior Deltoid,Abdominal Muscles; Diaphragm; Pelvic Diaphragm; Erector Spinae; Quadriceps Femoris,"This Push-up variation increases the load on the pectoral muscle and also extends the range of motion on the elevated side. Begin in a plank position, place one hand on an elevated surface (such as an aerobics step) and the other hand on the floor. Steadily lower yourself until the chest comes close to the elevated surface. Push back up to the plank position.",
Elevated Side Plank with Hip Adduction,/exercise/1039,https://app.strength.muscleandmotion.com/exercise/1039,Hip Adductor Muscles; External Oblique; Internal Oblique,Gluteus Maximus; Hamstrings,Erector Spinae; Multifidus; External Oblique; Hip Adductor Muscles; Diaphragm; Pelvic Diaphragm; Quadratus Lumborum (Respiration),"From this position, the instruction is to elevate the pelvis and stabilize it, and from there, elevate and lower the lower leg. The adductors of both legs are active, the muscles of the upper leg are active statically. And the muscles of the lower leg contract dynamically.",
Exercises for Knee Pain,/exercise/825,https://app.strength.muscleandmotion.com/exercise/825,,,,,
Extended Elbow Plank,/exercise/1388,https://app.strength.muscleandmotion.com/exercise/1388,Abdominal Muscles; Latissimus Dorsi (Respiration),Posterior Deltoid; Teres Major; Triceps Brachii,"Iliacus; Psoas Major; Quadriceps Femoris; Multifidus; Pectoralis Major, Clavicular Head","The Extended Elbow Plank is an advanced variation of the traditional plank exercise. In this variation, the trainee maintains an elbow plank position with their arms extended over their head. This variation adds an extra challenge to the exercise and requires increased core strength and stability to hold the position properly. Begin in the elbow plank position. From there, gradually extend your elbows, and take small steps with your feet backward until your arms are almost fully straight. Throughout the exercise, focus on maintaining a neutral spine position and avoid arching your back. Hold this position for the specified duration, engaging your core muscles. Walk your hands and feet back to the starting position and repeat.",
Face Pulls with External Rotation (Cable),/exercise/1166,https://app.strength.muscleandmotion.com/exercise/1166,Posterior Deltoid; Infraspinatus; Teres Minor,Trapezius; Biceps Brachii; Brachialis; Brachioradialis; Rhomboid Muscles,Erector Spinae; Wrist Flexors; Anterior Deltoid; Middle Deltoid,Hold the rope with your thumbs facing upward and extend the arms forward. Pull the handles toward your head sides so that the middle of the rope moves in the nose direction.,Cable
Face The Wall Squat,/exercise/1419,https://app.strength.muscleandmotion.com/exercise/1419,Quadriceps Femoris; Gluteus Maximus,Gastrocnemius; Soleus; Hamstrings,Erector Spinae; Abdominal Muscles,"Start by facing a wall and standing as close to it as possible, with your feet shoulder-width apart and toes slightly turned out. Engage your core and hip muscles as you lower your body into a squat, bending at the knees and keeping your arms raised overhead. Go as low as you comfortably can, then push through your heels to return to the starting position. You can modify the exercise by stepping away from the wall and slowly getting closer to it as you progress.",
Farmer's Walk (Loaded Carries),/exercise/845,https://app.strength.muscleandmotion.com/exercise/845,Quadriceps Femoris; Gluteus Maximus; Abdominal Muscles; Erector Spinae; Upper Trapezius; Deltoid; Wrist Flexors,Gastrocnemius; Soleus; Hamstrings,Biceps Brachii; Brachioradialis; Brachialis; Triceps Brachii; Upper Trapezius; Deltoid; Erector Spinae; Subscapularis; Infraspinatus; Wrist Flexors; Gluteus Medius,"Farmer's walk is a loaded carries exercise in which exercisers hold an external load and move it from place to place. We can see that almost all the upper body muscles are active statically when carrying loads, and the muscles of the lower body are active dynamically to move the body.",
